date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:56	58681/58681	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jul%202017%2013:41:54%20GMT	http://award.com-ib.info/lp/12689619/index.html?vsess=eb1ba2df5cbc0d672dfa25dc217a48b9&syn=693&ep2=1&cc=US&model=Desktop&brand=Desktop&city=Charleston&voluumdata=BASE64dmlkLi4wMDAwMDAwNi1kNGQxLTQ1NDEtODAwMC0wMDAwMDAwMDAwMDBfX3ZwaWQuLjJjMjEwODAwLTZjODItMTFlNy04YTQ1LTE0ODYyZDg3Mzk1Zl9fY2FpZC4uZDc2MWRhYTQtZTk5ZS00YzlhLTk2NjgtNTBiNzQ2NjAwODk1X19ydC4uSEpfX2xpZC4uZjgyNTliNWYtMTYyZC00ZjM5LTgxZDEtYWQ4YmVjMmE3ZGJhX19vaWQxLi5hZDZhODUwMi1iN2FmLTQ4ODgtOWZlZS03NzU4NDM2OTRlZDJfX3ZhcjEuLjM3NTY1M19fdmFyMi4uODk0Njc0X192YXIzLi4zMzg2ODY3NTExNDRfX3ZhcjQuLjEzX19yZC4uX19haWQuLl9fYWIuLl9fc2lkLi5fX2NyaS4uX19wdWIuLl9fZGlkLi5fX2RpdC4uX19waWQuLl9faXQuLl9fdnQuLjE1MDA0NzE1MDAxNTI&zone=375653&cid=894674&clid=338686751144&n=13	C:/My%20Web%20Sites/lp1/award.com-ib.info/lp/12689619/indexd008.html	(from )
09:41:57	25/25	---M--	200	added ('OK')	text/plain	etag:%2257f516b6-19%22	http://award.com-ib.info/robots.txt		(from )
09:41:57	1259/1259	---M--	200	added ('OK')	image/png	etag:%2258da7e1c-4eb%22	http://cdn.mobile-info.click/all/spin_auto_email/img/1.png	C:/My%20Web%20Sites/lp1/cdn.mobile-info.click/all/spin_auto_email/img/1.png	(from http://award.com-ib.info/lp/12689619/index.html?vsess=eb1ba2df5cbc0d672dfa25dc217a48b9&syn=693&ep2=1&cc=US&model=Desktop&brand=Desktop&city=Charleston&voluumdata=BASE64dmlkLi4wMDAwMDAwNi1kNGQxLTQ1NDEtODAwMC0wMDAwMDAwMDAwMDBfX3ZwaWQuLjJjMjEwODAwLTZjODItMTFlNy04YTQ1LTE0ODYyZDg3Mzk1Zl9fY2FpZC4uZDc2MWRhYTQtZTk5ZS00YzlhLTk2NjgtNTBiNzQ2NjAwODk1X19ydC4uSEpfX2xpZC4uZjgyNTliNWYtMTYyZC00ZjM5LTgxZDEtYWQ4YmVjMmE3ZGJhX19vaWQxLi5hZDZhODUwMi1iN2FmLTQ4ODgtOWZlZS03NzU4NDM2OTRlZDJfX3ZhcjEuLjM3NTY1M19fdmFyMi4uODk0Njc0X192YXIzLi4zMzg2ODY3NTExNDRfX3ZhcjQuLjEzX19yZC4uX19haWQuLl9fYWIuLl9fc2lkLi5fX2NyaS4uX19wdWIuLl9fZGlkLi5fX2RpdC4uX19waWQuLl9faXQuLl9fdnQuLjE1MDA0NzE1MDAxNTI&zone=375653&cid=894674&clid=338686751144&n=13)
09:41:57	8266/8266	---M--	200	added ('OK')	image/png	etag:%2259034f9a-204a%22	http://cdn.mobile-info.click/all/spin_auto_email/img/sprite_fb.png	C:/My%20Web%20Sites/lp1/cdn.mobile-info.click/all/spin_auto_email/img/sprite_fb.png	(from http://award.com-ib.info/lp/12689619/index.html?vsess=eb1ba2df5cbc0d672dfa25dc217a48b9&syn=693&ep2=1&cc=US&model=Desktop&brand=Desktop&city=Charleston&voluumdata=BASE64dmlkLi4wMDAwMDAwNi1kNGQxLTQ1NDEtODAwMC0wMDAwMDAwMDAwMDBfX3ZwaWQuLjJjMjEwODAwLTZjODItMTFlNy04YTQ1LTE0ODYyZDg3Mzk1Zl9fY2FpZC4uZDc2MWRhYTQtZTk5ZS00YzlhLTk2NjgtNTBiNzQ2NjAwODk1X19ydC4uSEpfX2xpZC4uZjgyNTliNWYtMTYyZC00ZjM5LTgxZDEtYWQ4YmVjMmE3ZGJhX19vaWQxLi5hZDZhODUwMi1iN2FmLTQ4ODgtOWZlZS03NzU4NDM2OTRlZDJfX3ZhcjEuLjM3NTY1M19fdmFyMi4uODk0Njc0X192YXIzLi4zMzg2ODY3NTExNDRfX3ZhcjQuLjEzX19yZC4uX19haWQuLl9fYWIuLl9fc2lkLi5fX2NyaS4uX19wdWIuLl9fZGlkLi5fX2RpdC4uX19waWQuLl9faXQuLl9fdnQuLjE1MDA0NzE1MDAxNTI&zone=375653&cid=894674&clid=338686751144&n=13)
09:41:57	1202/1202	---M--	200	added ('OK')	image/png	etag:%22573c8056-4b2%22	http://cdn.4plus.club/static/sweep/global/menusprite.png	C:/My%20Web%20Sites/lp1/cdn.4plus.club/static/sweep/global/menusprite.png	(from http://award.com-ib.info/lp/12689619/index.html?vsess=eb1ba2df5cbc0d672dfa25dc217a48b9&syn=693&ep2=1&cc=US&model=Desktop&brand=Desktop&city=Charleston&voluumdata=BASE64dmlkLi4wMDAwMDAwNi1kNGQxLTQ1NDEtODAwMC0wMDAwMDAwMDAwMDBfX3ZwaWQuLjJjMjEwODAwLTZjODItMTFlNy04YTQ1LTE0ODYyZDg3Mzk1Zl9fY2FpZC4uZDc2MWRhYTQtZTk5ZS00YzlhLTk2NjgtNTBiNzQ2NjAwODk1X19ydC4uSEpfX2xpZC4uZjgyNTliNWYtMTYyZC00ZjM5LTgxZDEtYWQ4YmVjMmE3ZGJhX19vaWQxLi5hZDZhODUwMi1iN2FmLTQ4ODgtOWZlZS03NzU4NDM2OTRlZDJfX3ZhcjEuLjM3NTY1M19fdmFyMi4uODk0Njc0X192YXIzLi4zMzg2ODY3NTExNDRfX3ZhcjQuLjEzX19yZC4uX19haWQuLl9fYWIuLl9fc2lkLi5fX2NyaS4uX19wdWIuLl9fZGlkLi5fX2RpdC4uX19waWQuLl9faXQuLl9fdnQuLjE1MDA0NzE1MDAxNTI&zone=375653&cid=894674&clid=338686751144&n=13)
09:41:58	566/566	---MCZ	200	added ('OK')	application/javascript	etag:W/%22591b045e-236%22	http://cdn.mobile-info.click/all/lrdctr/naf/US/add.js	C:/My%20Web%20Sites/lp1/cdn.mobile-info.click/all/lrdctr/naf/US/add.js	(from http://award.com-ib.info/lp/12689619/index.html?vsess=eb1ba2df5cbc0d672dfa25dc217a48b9&syn=693&ep2=1&cc=US&model=Desktop&brand=Desktop&city=Charleston&voluumdata=BASE64dmlkLi4wMDAwMDAwNi1kNGQxLTQ1NDEtODAwMC0wMDAwMDAwMDAwMDBfX3ZwaWQuLjJjMjEwODAwLTZjODItMTFlNy04YTQ1LTE0ODYyZDg3Mzk1Zl9fY2FpZC4uZDc2MWRhYTQtZTk5ZS00YzlhLTk2NjgtNTBiNzQ2NjAwODk1X19ydC4uSEpfX2xpZC4uZjgyNTliNWYtMTYyZC00ZjM5LTgxZDEtYWQ4YmVjMmE3ZGJhX19vaWQxLi5hZDZhODUwMi1iN2FmLTQ4ODgtOWZlZS03NzU4NDM2OTRlZDJfX3ZhcjEuLjM3NTY1M19fdmFyMi4uODk0Njc0X192YXIzLi4zMzg2ODY3NTExNDRfX3ZhcjQuLjEzX19yZC4uX19haWQuLl9fYWIuLl9fc2lkLi5fX2NyaS4uX19wdWIuLl9fZGlkLi5fX2RpdC4uX19waWQuLl9faXQuLl9fdnQuLjE1MDA0NzE1MDAxNTI&zone=375653&cid=894674&clid=338686751144&n=13)
09:41:59	2544/2544	---M--	200	added ('OK')	image/jpeg	etag:%22591b045b-9f0%22	http://cdn.mobile-info.click/all/lrdctr/naf/US/1.jpg	C:/My%20Web%20Sites/lp1/cdn.mobile-info.click/all/lrdctr/naf/US/1.jpg	(from http://award.com-ib.info/lp/12689619/index.html?vsess=eb1ba2df5cbc0d672dfa25dc217a48b9&syn=693&ep2=1&cc=US&model=Desktop&brand=Desktop&city=Charleston&voluumdata=BASE64dmlkLi4wMDAwMDAwNi1kNGQxLTQ1NDEtODAwMC0wMDAwMDAwMDAwMDBfX3ZwaWQuLjJjMjEwODAwLTZjODItMTFlNy04YTQ1LTE0ODYyZDg3Mzk1Zl9fY2FpZC4uZDc2MWRhYTQtZTk5ZS00YzlhLTk2NjgtNTBiNzQ2NjAwODk1X19ydC4uSEpfX2xpZC4uZjgyNTliNWYtMTYyZC00ZjM5LTgxZDEtYWQ4YmVjMmE3ZGJhX19vaWQxLi5hZDZhODUwMi1iN2FmLTQ4ODgtOWZlZS03NzU4NDM2OTRlZDJfX3ZhcjEuLjM3NTY1M19fdmFyMi4uODk0Njc0X192YXIzLi4zMzg2ODY3NTExNDRfX3ZhcjQuLjEzX19yZC4uX19haWQuLl9fYWIuLl9fc2lkLi5fX2NyaS4uX19wdWIuLl9fZGlkLi5fX2RpdC4uX19waWQuLl9faXQuLl9fdnQuLjE1MDA0NzE1MDAxNTI&zone=375653&cid=894674&clid=338686751144&n=13)
09:41:59	7816/7816	---M--	200	added ('OK')	image/png	etag:%225914445a-1e88%22	http://cdn.mobile-info.click/all/spin_auto_email/img/prize/amazon100.png	C:/My%20Web%20Sites/lp1/cdn.mobile-info.click/all/spin_auto_email/img/prize/amazon100.png	(from http://award.com-ib.info/lp/12689619/index.html?vsess=eb1ba2df5cbc0d672dfa25dc217a48b9&syn=693&ep2=1&cc=US&model=Desktop&brand=Desktop&city=Charleston&voluumdata=BASE64dmlkLi4wMDAwMDAwNi1kNGQxLTQ1NDEtODAwMC0wMDAwMDAwMDAwMDBfX3ZwaWQuLjJjMjEwODAwLTZjODItMTFlNy04YTQ1LTE0ODYyZDg3Mzk1Zl9fY2FpZC4uZDc2MWRhYTQtZTk5ZS00YzlhLTk2NjgtNTBiNzQ2NjAwODk1X19ydC4uSEpfX2xpZC4uZjgyNTliNWYtMTYyZC00ZjM5LTgxZDEtYWQ4YmVjMmE3ZGJhX19vaWQxLi5hZDZhODUwMi1iN2FmLTQ4ODgtOWZlZS03NzU4NDM2OTRlZDJfX3ZhcjEuLjM3NTY1M19fdmFyMi4uODk0Njc0X192YXIzLi4zMzg2ODY3NTExNDRfX3ZhcjQuLjEzX19yZC4uX19haWQuLl9fYWIuLl9fc2lkLi5fX2NyaS4uX19wdWIuLl9fZGlkLi5fX2RpdC4uX19waWQuLl9faXQuLl9fdnQuLjE1MDA0NzE1MDAxNTI&zone=375653&cid=894674&clid=338686751144&n=13)
09:42:00	3128/3128	---M--	200	added ('OK')	image/jpeg	etag:%22591b045c-c38%22	http://cdn.mobile-info.click/all/lrdctr/naf/US/2.jpg	C:/My%20Web%20Sites/lp1/cdn.mobile-info.click/all/lrdctr/naf/US/2.jpg	(from http://award.com-ib.info/lp/12689619/index.html?vsess=eb1ba2df5cbc0d672dfa25dc217a48b9&syn=693&ep2=1&cc=US&model=Desktop&brand=Desktop&city=Charleston&voluumdata=BASE64dmlkLi4wMDAwMDAwNi1kNGQxLTQ1NDEtODAwMC0wMDAwMDAwMDAwMDBfX3ZwaWQuLjJjMjEwODAwLTZjODItMTFlNy04YTQ1LTE0ODYyZDg3Mzk1Zl9fY2FpZC4uZDc2MWRhYTQtZTk5ZS00YzlhLTk2NjgtNTBiNzQ2NjAwODk1X19ydC4uSEpfX2xpZC4uZjgyNTliNWYtMTYyZC00ZjM5LTgxZDEtYWQ4YmVjMmE3ZGJhX19vaWQxLi5hZDZhODUwMi1iN2FmLTQ4ODgtOWZlZS03NzU4NDM2OTRlZDJfX3ZhcjEuLjM3NTY1M19fdmFyMi4uODk0Njc0X192YXIzLi4zMzg2ODY3NTExNDRfX3ZhcjQuLjEzX19yZC4uX19haWQuLl9fYWIuLl9fc2lkLi5fX2NyaS4uX19wdWIuLl9fZGlkLi5fX2RpdC4uX19waWQuLl9faXQuLl9fdnQuLjE1MDA0NzE1MDAxNTI&zone=375653&cid=894674&clid=338686751144&n=13)
09:42:00	2229/2229	---M--	200	added ('OK')	image/jpeg	etag:%22591b045c-8b5%22	http://cdn.mobile-info.click/all/lrdctr/naf/US/3.jpg	C:/My%20Web%20Sites/lp1/cdn.mobile-info.click/all/lrdctr/naf/US/3.jpg	(from http://award.com-ib.info/lp/12689619/index.html?vsess=eb1ba2df5cbc0d672dfa25dc217a48b9&syn=693&ep2=1&cc=US&model=Desktop&brand=Desktop&city=Charleston&voluumdata=BASE64dmlkLi4wMDAwMDAwNi1kNGQxLTQ1NDEtODAwMC0wMDAwMDAwMDAwMDBfX3ZwaWQuLjJjMjEwODAwLTZjODItMTFlNy04YTQ1LTE0ODYyZDg3Mzk1Zl9fY2FpZC4uZDc2MWRhYTQtZTk5ZS00YzlhLTk2NjgtNTBiNzQ2NjAwODk1X19ydC4uSEpfX2xpZC4uZjgyNTliNWYtMTYyZC00ZjM5LTgxZDEtYWQ4YmVjMmE3ZGJhX19vaWQxLi5hZDZhODUwMi1iN2FmLTQ4ODgtOWZlZS03NzU4NDM2OTRlZDJfX3ZhcjEuLjM3NTY1M19fdmFyMi4uODk0Njc0X192YXIzLi4zMzg2ODY3NTExNDRfX3ZhcjQuLjEzX19yZC4uX19haWQuLl9fYWIuLl9fc2lkLi5fX2NyaS4uX19wdWIuLl9fZGlkLi5fX2RpdC4uX19waWQuLl9faXQuLl9fdnQuLjE1MDA0NzE1MDAxNTI&zone=375653&cid=894674&clid=338686751144&n=13)
